path,bytes,sha256
reference/previous_prototype/.github/workflows/matlab-tests.yml,315,cca43a4316ef5b16f09d77824e18b4463a4e35d20b9f4ef262369d908460608f
reference/previous_prototype/.gitignore,65,d8952545e78d3b387d01cd20bb38d3ade1592c508f41c0627250f99b37535c34
reference/previous_prototype/CITATION.cff,455,4a5bb9beb4b7f4abb5e24b0aecf98a6285b2b47388111e349fe857dde6fb9a1b
reference/previous_prototype/LICENSE,1066,3f75f47d06639215e200aad0234b39a5d5265868406ca882d46f183307cfe9ee
reference/previous_prototype/README.md,5874,96c40d993751e766957c06082f01126ec8aabcf6728014398b9fa48f1a1e2907
reference/previous_prototype/docs/guide-zh.md,2159,63ff58147b936cc24afb6238e8cb09651408b8f0f3586d4fe9faaa608eb673c8
reference/previous_prototype/docs/legacy-audit.md,5738,ab686457a60b650fa8a1c64b31396ad8c27e8da912c67f44834d22533ffda972
reference/previous_prototype/docs/mathematical-map.md,7194,006956415909299724d1748465961491c77d657e5ba707f8f8d19c7931fd1cce
reference/previous_prototype/docs/reproducibility.md,2692,5cdc490cba68cca7dcf0b1459b739e3ed6a8033a5575ec721736406d76072277
reference/previous_prototype/experiments/configs/incentive_design_config.m,999,610892d0888cf6aa0da054ff7d1417092864d7e8ed1adffe21dc3e6645f85f92
reference/previous_prototype/experiments/configs/pareto_strong_config.m,851,4617d8b2dd3bff3b7ad9a4cd9236e6c8505cde4e81f8e7b53038531af15ea41a
reference/previous_prototype/experiments/configs/pareto_trap_config.m,1058,e18225e98bda347cdd7138becac1ff67156dab04c0eef3a75b473a8c6cca5db3
reference/previous_prototype/experiments/configs/pareto_weak_config.m,828,5100099876f56557a7a883a96ccb1b21630397225151737f199fe19f7381f1b6
reference/previous_prototype/experiments/configs/stability_extension_config.m,935,dbe94ef588e942ceb6ece69ea7ef0104d779fcd7a8ec8da22fb7d972d7f43e8f
reference/previous_prototype/experiments/configs/topology_cube_config.m,764,e8e8339e2d419eedcd117c340e9b482254d5a426b2015737ebe9a620abbee38b
reference/previous_prototype/experiments/configs/topology_prism_config.m,958,b946ae8140091e37d022a25c83bd4c14e72abe14238f731ce10c4cf96514aaae
reference/previous_prototype/experiments/reproduce_all.m,492,b775da43ab8dacb7ae689cdd485805fa5a79e2bc254121405eae020670c1e4b2
reference/previous_prototype/experiments/run_incentive_example.m,3447,15f4ddd227896c290b18b840796055630a7fc23a7350c73abe83678fcaa0e512
reference/previous_prototype/experiments/run_pareto_examples.m,3468,e57c056450d386664065c0eb1878ccdf9b0d502c8699eecad43de4e6d747f63e
reference/previous_prototype/experiments/run_stability_example.m,2486,62b3d7f26b890359b15dfd1880c9820877a23b65d2a23ebc0495f4ed94bf782b
reference/previous_prototype/experiments/run_topology_examples.m,1925,7b9b2c5ca20c8c9a88025563d4b970f9e981d507e21ec32a79d9488db888478b
reference/previous_prototype/results/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
reference/previous_prototype/run_tests.m,328,12e558dea1cbf75a0e8824c72e5d753d4c44522d630c944af5f852f41dbc3229
reference/previous_prototype/src/+vpg/agentStateIndices.m,355,ba9acb8d8a10ec30b37e1eee28110a003ac2ef957511eb50419ecfcd8bdab6df
reference/previous_prototype/src/+vpg/bestResponseState.m,363,bbfc30f2930d4df1f87951bdfe05a9774b847a29fbae9999450060a3992ba196
reference/previous_prototype/src/+vpg/branchLinearization.m,1636,5c41ea884b90c509b20345ed5bebf35f64a18dc67500eb1b3bf33eef332bf235
reference/previous_prototype/src/+vpg/budgetBalance.m,293,4fcc1d345a3a9862794e06c2b673f358d1dd949becc79ddba5b6fdeb52e3db97
reference/previous_prototype/src/+vpg/centeredQuadratic.m,234,189a78f8450028d4d8be02597fe5862fe0276b1a2d6a0431e869f9126e9665b5
reference/previous_prototype/src/+vpg/coordinateTransform.m,1697,dc580ca1e82f25718a1f83dafd4c6a6747d4b7b3354406bc38406109599408af
reference/previous_prototype/src/+vpg/defaultDynamicsOptions.m,655,c70ef5867cc1d29144f6c7a8fd51fe5f0825b0c6e91ab9afba13b3837b138c22
reference/previous_prototype/src/+vpg/designQuadraticIncentives.m,4929,81b1bb5b069b8c9f93253573c115a1faf4ffaf360adddd3527a2da7cf3f8d2f0
reference/previous_prototype/src/+vpg/evaluateQuadratic.m,383,363b20d3981cf18a7de0a30128c62e5e43e3651ce2aa2c410b91a16ad0d0078f
reference/previous_prototype/src/+vpg/isScalarStateNash.m,883,f468ef192af8707e2e770e9fbbf576128e8b49b890662f35ea2325d37a985065
reference/previous_prototype/src/+vpg/makeGame.m,1157,4780a6527899b07a8d7189115028cc3538a7a66df26b9d792055ddf574f68fba
reference/previous_prototype/src/+vpg/normalizedSensitivities.m,659,663e58692e662a598208647c49c9bbe7955c672ea5c2bd425bba7babb1224142
reference/previous_prototype/src/+vpg/ownGradient.m,271,9ed08e4beca20d5489d34389424a6fbcf46d74195275da07f9c8280c8a7021f2
reference/previous_prototype/src/+vpg/payoff.m,267,c20afbe29bd10f32703208040521f91a85953ce1f12c634b86ce2be9e10998c2
reference/previous_prototype/src/+vpg/payoffDerivatives.m,430,70b427f34c1549702fe8d3b4c139fb7f1f3ecf13ece97940e50e1c6f5dc15d51
reference/previous_prototype/src/+vpg/payoffGradient.m,206,67aac25b939e07259ecdb26b679625f3f135b7449a4a6c7cb3be73e11baefc9d
reference/previous_prototype/src/+vpg/payoffQuadratic.m,243,6ea70b374b7119ddb426457553f7a0350dcf0d8e0e7fe69b2e2aff2a9e088b91
reference/previous_prototype/src/+vpg/payoffRateDecomposition.m,1347,3f63c6d245081b8a2d7eec4c44b0c03b8526f7919576161e5993b1541e5b4971
reference/previous_prototype/src/+vpg/payoffValues.m,443,8f4d6887bd4a7ca9b3d49b4a7242c871c825485c13a6b9f56f33aed710d0598e
reference/previous_prototype/src/+vpg/plotPlanarGeometry.m,2205,0b75863facbcadaf300f2a83501a85440105785c56555a89542ce62a2b3186b0
reference/previous_prototype/src/+vpg/pseudoGradient.m,2827,3db7f5c8be244bc0c200d76c38017075ec7c1a86e64f570491868fd6e7507b8f
reference/previous_prototype/src/+vpg/quadraticCombination.m,585,eeacaf1b5458b10716429c556014e0f6da490bfe94317090a884265584d8011c
reference/previous_prototype/src/+vpg/quadraticFromOwnRows.m,910,e9ab913f1fb2f73267f113afc6d5a976b98a4e6181cfeaf65f16a344b3614377
reference/previous_prototype/src/+vpg/sampleWeightedNashSet.m,1418,b632615cb5297b4e3d93e68e928ba1086b76086a7a71993b606fbaeff1dd5a9b
reference/previous_prototype/src/+vpg/simplexGrid.m,706,80141bc8a954748c18e6ca9b519a665d071dfb943574036e289d4036abf33ab8
reference/previous_prototype/src/+vpg/simulate.m,1079,4c6d3f6ec380b67a86eef1457040b068c7572897e290f64c445f0a46cb900e22
reference/previous_prototype/src/+vpg/trajectoryDiagnostics.m,2126,53d5c4942222c9b358244c3fa30c61454a55e631b7af30a4a881251369db206b
reference/previous_prototype/src/+vpg/transformedBranch.m,1809,94a679dfccb739c01145065ed6083a6538d7b2c0ad13d86771a9971948ad90a5
