case,j1,j2,a11,a12,a21,a22,det,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,v1_x_real,v1_y_real,v2_x_real,v2_y_real,cone_angle_deg,eigenray_in_cone,transition,xstar1,xstar2
1,1,1,-1,0.8,-0.6,-1,1.48,-1,0.692820323028,-1,-0.692820323028,NaN,NaN,NaN,NaN,97.75,0000,"1-transitive clockwise",4.78378378378,5.72972972973
1,1,2,-1,0.8,-0.2,-1,1.16,-1,0.4,-1,-0.4,NaN,NaN,NaN,NaN,62.75,0000,"1-transitive clockwise",4.44827586207,5.31034482759
1,2,1,-1,0.3,-0.6,-1,1.18,-1,0.424264068712,-1,-0.424264068712,NaN,NaN,NaN,NaN,104.25,0000,"1-transitive clockwise",4.89830508475,5.66101694915
1,2,2,-1,0.3,-0.2,-1,1.06,-1,0.244948974278,-1,-0.244948974278,NaN,NaN,NaN,NaN,95.25,0000,"1-transitive clockwise",4.77358490566,5.24528301887
2,1,1,-1,0.6,0.8,-1,0.52,-0.307179676972,0,-1.69282032303,0,0.654653670708,0.755928946018,-0.654653670708,0.755928946018,20.5,0100,"0-transitive",2.92307692308,2.53846153846
2,1,2,-1,0.6,0.2,-1,0.88,-0.653589838486,0,-1.34641016151,0,0.866025403784,0.5,-0.866025403784,0.5,132.25,0010,"2-transitive",4.18181818182,4.63636363636
2,2,1,-1,0.4,0.8,-1,0.68,-0.434314575051,0,-1.56568542495,0,0.57735026919,0.816496580928,-0.57735026919,0.816496580928,150.5,0001,"2-transitive",3.94117647059,3.35294117647
2,2,2,-1,0.4,0.2,-1,0.92,-0.717157287525,0,-1.28284271247,0,0.816496580928,0.57735026919,-0.816496580928,0.57735026919,56.75,1000,"0-transitive",4.47826086957,4.69565217391
3,1,1,-1,-0.3,0.8,-1,1.24,-1,0.489897948557,-1,-0.489897948557,NaN,NaN,NaN,NaN,68,0000,"1-transitive counterclockwise",5.43548387097,4.54838709677
3,1,2,-1,-0.3,0.5,-1,1.15,-1,0.387298334621,-1,-0.387298334621,NaN,NaN,NaN,NaN,100,0000,"1-transitive counterclockwise",5.39130434783,4.69565217391
3,2,1,-1,-0.7,0.8,-1,1.56,-1,0.748331477355,-1,-0.748331477355,NaN,NaN,NaN,NaN,93.75,0000,"1-transitive counterclockwise",5.80769230769,4.84615384615
3,2,2,-1,-0.7,0.5,-1,1.35,-1,0.59160797831,-1,-0.59160797831,NaN,NaN,NaN,NaN,98.25,0000,"1-transitive counterclockwise",5.77777777778,4.88888888889
4,1,1,-1,0.8,-0.4,-1,1.32,-1,0.565685424949,-1,-0.565685424949,NaN,NaN,NaN,NaN,106.75,0000,"1-transitive clockwise",4.63636363636,5.54545454545
4,1,2,-1,0.8,0.3,-1,0.76,-0.510102051443,0,-1.48989794856,0,0.852802865422,0.522232967867,-0.852802865422,0.522232967867,34.75,0100,"0-transitive",3.63157894737,4.28947368421
4,2,1,-1,0.5,-0.4,-1,1.2,-1,0.4472135955,-1,-0.4472135955,NaN,NaN,NaN,NaN,85.25,0000,"1-transitive clockwise",4.75,5.5
4,2,2,-1,0.5,0.3,-1,0.85,-0.612701665379,0,-1.38729833462,0,0.790569415042,0.612372435696,-0.790569415042,0.612372435696,133.25,0001,"2-transitive",4.23529411765,4.47058823529
5,1,1,-1,1.1,2,-1,-1.2,0.483239697419,0,-2.48323969742,0,0.595683397181,0.803219328902,-0.595683397181,0.803219328902,159,0010,"saddle: stable eigenray / outward generic flow",7.75,8.5
5,1,2,-1,1.1,1.6,-1,-0.76,0.326649916142,0,-2.32664991614,0,0.638284738504,0.76980035892,-0.638284738504,0.76980035892,15.5,1000,"unstable non-transitive eigenray",8.76315789474,9.42105263158
5,2,1,-1,1.3,2,-1,-1.6,0.61245154966,0,-2.61245154966,0,0.627645914461,0.778498944162,-0.627645914461,0.778498944162,25.75,0100,"unstable non-transitive eigenray",7.4375,7.875
5,2,2,-1,1.3,1.6,-1,-1.08,0.442220510186,0,-2.44222051019,0,0.669534063412,0.742781352708,-0.669534063412,0.742781352708,159.75,0001,"saddle: stable eigenray / outward generic flow",8.12962962963,8.40740740741
