case,j1,j2,a11,a12,a21,a22,det,eig1_real,eig1_imag,eig2_real,eig2_imag,corner_x1,corner_x2
1,1,1,-1,0.8,-0.6,-1,1.48,-1,0.692820323028,-1,-0.692820323028,0.540540540541,0.675675675676
1,1,2,-1,0.8,-0.2,-1,1.16,-1,0.4,-1,-0.4,-0.689655172414,-0.862068965517
1,2,1,-1,0.3,-0.6,-1,1.18,-1,0.424264068712,-1,-0.424264068712,0.254237288136,0.847457627119
1,2,2,-1,0.3,-0.2,-1,1.06,-1,0.244948974278,-1,-0.244948974278,-0.283018867925,-0.943396226415
2,1,1,-1,0.6,0.8,-1,0.52,-0.307179676972,0,-1.69282032303,0,1.15384615385,1.92307692308
2,1,2,-1,0.6,0.2,-1,0.88,-0.653589838486,0,-1.34641016151,0,-0.681818181818,-1.13636363636
2,2,1,-1,0.4,0.8,-1,0.68,-0.434314575051,0,-1.56568542495,0,0.588235294118,1.47058823529
2,2,2,-1,0.4,0.2,-1,0.92,-0.717157287525,0,-1.28284271247,0,-0.434782608696,-1.08695652174
3,1,1,-1,-0.3,0.8,-1,1.24,-1,0.489897948557,-1,-0.489897948557,-0.241935483871,0.806451612903
3,1,2,-1,-0.3,0.5,-1,1.15,-1,0.387298334621,-1,-0.387298334621,0.260869565217,-0.869565217391
3,2,1,-1,-0.7,0.8,-1,1.56,-1,0.748331477355,-1,-0.748331477355,-0.448717948718,0.641025641026
3,2,2,-1,-0.7,0.5,-1,1.35,-1,0.59160797831,-1,-0.59160797831,0.518518518519,-0.740740740741
4,1,1,-1,0.8,-0.4,-1,1.32,-1,0.565685424949,-1,-0.565685424949,0.606060606061,0.757575757576
4,1,2,-1,0.8,0.3,-1,0.76,-0.510102051443,0,-1.48989794856,0,-1.05263157895,-1.31578947368
4,2,1,-1,0.5,-0.4,-1,1.2,-1,0.4472135955,-1,-0.4472135955,0.416666666667,0.833333333333
4,2,2,-1,0.5,0.3,-1,0.85,-0.612701665379,0,-1.38729833462,0,-0.588235294118,-1.17647058824
5,1,1,-1,1.1,2,-1,-1.2,0.483239697419,0,-2.48323969742,0,-0.916666666667,-0.833333333333
5,1,2,-1,1.1,1.6,-1,-0.76,0.326649916142,0,-2.32664991614,0,1.44736842105,1.31578947368
5,2,1,-1,1.3,2,-1,-1.6,0.61245154966,0,-2.61245154966,0,-0.8125,-0.625
5,2,2,-1,1.3,1.6,-1,-1.08,0.442220510186,0,-2.44222051019,0,1.2037037037,0.925925925926
