case,j1,j2,matrix,determinant,eigenvalues,eigenvectors,eigenrays_in_active_cone,cone_start_deg,cone_angle_deg,transition,xstar
1,1,1,"[[-1.0,0.8],[-0.6,-1.0]]",1.48,"[{""real"":-1.0,""imag"":0.6928203230275509},{""real"":-1.0,""imag"":-0.6928203230275509}]",[],[],51.35,97.69999999999999,1-transitive clockwise,"[4.783783783783783,5.72972972972973]"
1,1,2,"[[-1.0,0.8],[-0.2,-1.0]]",1.1600000000000001,"[{""real"":-1.0,""imag"":0.4},{""real"":-1.0,""imag"":-0.4}]",[],[],168.7,62.650000000000006,1-transitive clockwise,"[4.448275862068965,5.310344827586206]"
1,2,1,"[[-1.0,0.3],[-0.6,-1.0]]",1.18,"[{""real"":-1.0,""imag"":0.4242640687119285},{""real"":-1.0,""imag"":-0.4242640687119285}]",[],[],329.04999999999995,104.27499999999999,1-transitive clockwise,"[4.898305084745762,5.661016949152542]"
1,2,2,"[[-1.0,0.3],[-0.2,-1.0]]",1.06,"[{""real"":-1.0,""imag"":0.2449489742783178},{""real"":-1.0,""imag"":-0.2449489742783178}]",[],[],253.325,95.37499999999999,1-transitive clockwise,"[4.773584905660377,5.245283018867925]"
2,1,1,"[[-1.0,0.6],[0.8,-1.0]]",0.52,"[{""real"":-0.3071796769724491,""imag"":0.0},{""real"":-1.692820323027551,""imag"":0.0}]","[[0.6546536707079771,0.7559289460184545],[0.6546536707079771,-0.7559289460184545]]","[[false,true],[false,false]]",218.67499999999998,20.375000000000004,0-transitive,"[2.923076923076923,2.5384615384615374]"
2,1,2,"[[-1.0,0.6],[0.2,-1.0]]",0.88,"[{""real"":-0.6535898384862245,""imag"":0.0},{""real"":-1.3464101615137753,""imag"":0.0}]","[[0.8660254037844386,0.5],[0.8660254037844387,-0.49999999999999994]]","[[false,false],[false,true]]",59.050000000000004,132.275,2-transitive,"[4.181818181818182,4.636363636363637]"
2,2,1,"[[-1.0,0.4],[0.8,-1.0]]",0.6799999999999999,"[{""real"":-0.4343145750507619,""imag"":0.0},{""real"":-1.5656854249492382,""imag"":0.0}]","[[0.5773502691896257,0.816496580927726],[0.5773502691896256,-0.816496580927726]]","[[false,false],[true,false]]",248.2,150.475,2-transitive,"[3.9411764705882346,3.352941176470587]"
2,2,2,"[[-1.0,0.4],[0.2,-1.0]]",0.9199999999999999,"[{""real"":-0.7171572875253809,""imag"":0.0},{""real"":-1.2828427124746191,""imag"":0.0}]","[[0.8164965809277259,0.5773502691896258],[0.8164965809277259,-0.5773502691896258]]","[[true,false],[false,false]]",11.325,56.875,0-transitive,"[4.478260869565217,4.695652173913043]"
3,1,1,"[[-1.0,-0.3],[0.8,-1.0]]",1.24,"[{""real"":-1.0,""imag"":0.4898979485566356},{""real"":-1.0,""imag"":-0.4898979485566356}]",[],[],218.67499999999998,68.025,1-transitive counterclockwise,"[5.435483870967742,4.548387096774193]"
3,1,2,"[[-1.0,-0.3],[0.5,-1.0]]",1.15,"[{""real"":-1.0,""imag"":0.3872983346207417},{""real"":-1.0,""imag"":-0.3872983346207417}]",[],[],106.70000000000002,99.87499999999999,1-transitive counterclockwise,"[5.391304347826088,4.695652173913044]"
3,2,1,"[[-1.0,-0.7],[0.8,-1.0]]",1.56,"[{""real"":-1.0,""imag"":0.7483314773547882},{""real"":-1.0,""imag"":-0.7483314773547882}]",[],[],305.0,93.675,1-transitive counterclockwise,"[5.8076923076923075,4.846153846153845]"
3,2,2,"[[-1.0,-0.7],[0.5,-1.0]]",1.35,"[{""real"":-1.0,""imag"":0.5916079783099616},{""real"":-1.0,""imag"":-0.5916079783099616}]",[],[],26.575000000000003,98.425,1-transitive counterclockwise,"[5.777777777777777,4.888888888888888]"
4,1,1,"[[-1.0,0.8],[-0.4,-1.0]]",1.32,"[{""real"":-1.0,""imag"":0.5656854249492381},{""real"":-1.0,""imag"":-0.5656854249492381}]",[],[],51.35,106.85000000000001,1-transitive clockwise,"[4.636363636363636,5.545454545454545]"
4,1,2,"[[-1.0,0.8],[0.3,-1.0]]",0.76,"[{""real"":-0.5101020514433644,""imag"":0.0},{""real"":-1.4898979485566355,""imag"":0.0}]","[[0.8528028654224418,0.5222329678670935],[0.8528028654224419,-0.5222329678670934]]","[[false,true],[false,false]]",196.7,34.64999999999999,0-transitive,"[3.631578947368421,4.289473684210526]"
4,2,1,"[[-1.0,0.5],[-0.4,-1.0]]",1.2,"[{""real"":-1.0,""imag"":0.4472135954999579},{""real"":-1.0,""imag"":-0.4472135954999579}]",[],[],338.2,85.25000000000001,1-transitive clockwise,"[4.75,5.500000000000001]"
4,2,2,"[[-1.0,0.5],[0.3,-1.0]]",0.85,"[{""real"":-0.6127016653792583,""imag"":0.0},{""real"":-1.3872983346207417,""imag"":0.0}]","[[0.7905694150420948,0.6123724356957946],[0.7905694150420948,-0.6123724356957946]]","[[false,false],[true,false]]",243.45000000000002,133.25,2-transitive,"[4.235294117647059,4.470588235294118]"
5,1,1,"[[-1.0,1.1],[2.0,-1.0]]",-1.2000000000000002,"[{""real"":0.48323969741913264,""imag"":0.0},{""real"":-2.4832396974191324,""imag"":0.0}]","[[0.5956833971812706,0.8032193289024988],[0.5956833971812706,-0.8032193289024988]]","[[false,false],[false,true]]",63.449999999999996,158.82500000000002,saddle: stable eigenray / outward generic flow,"[7.749999999999999,8.5]"
