group,case,j1,j2,a11,a12,a21,a22,det,eig1_real,eig1_imag,eig2_real,eig2_imag,corner_x1,corner_x2
degenerate,D1,1,1,-1,0.8,-0.6,-1,1.48,-1.0,0.6928203230275509,-1.0,-0.6928203230275509,0.5405405405405406,0.6756756756756757
degenerate,D1,1,2,-1,0.8,-0.2,-1,1.1600000000000001,-1.0,0.4,-1.0,-0.4,-0.689655172413793,-0.8620689655172413
degenerate,D1,2,1,-1,0.3,-0.6,-1,1.18,-1.0,0.4242640687119285,-1.0,-0.4242640687119285,0.2542372881355932,0.8474576271186441
degenerate,D1,2,2,-1,0.3,-0.2,-1,1.06,-1.0,0.2449489742783178,-1.0,-0.2449489742783178,-0.2830188679245283,-0.9433962264150942
degenerate,D2,1,1,-1,0.6,0.8,-1,0.52,-0.3071796769724491,0.0,-1.692820323027551,0.0,1.1538461538461537,1.923076923076923
degenerate,D2,1,2,-1,0.6,0.2,-1,0.88,-0.6535898384862245,0.0,-1.3464101615137753,0.0,-0.6818181818181818,-1.1363636363636365
degenerate,D2,2,1,-1,0.4,0.8,-1,0.6799999999999999,-0.4343145750507619,0.0,-1.5656854249492382,0.0,0.5882352941176472,1.4705882352941178
degenerate,D2,2,2,-1,0.4,0.2,-1,0.9199999999999999,-0.7171572875253809,0.0,-1.2828427124746191,0.0,-0.4347826086956522,-1.0869565217391306
degenerate,D3,1,1,-1,-0.3,0.8,-1,1.24,-1.0,0.4898979485566356,-1.0,-0.4898979485566356,-0.24193548387096772,0.8064516129032259
degenerate,D3,1,2,-1,-0.3,0.5,-1,1.15,-1.0,0.3872983346207417,-1.0,-0.3872983346207417,0.2608695652173913,-0.8695652173913044
degenerate,D3,2,1,-1,-0.7,0.8,-1,1.56,-1.0,0.7483314773547882,-1.0,-0.7483314773547882,-0.4487179487179487,0.641025641025641
degenerate,D3,2,2,-1,-0.7,0.5,-1,1.35,-1.0,0.5916079783099616,-1.0,-0.5916079783099616,0.5185185185185185,-0.7407407407407407
degenerate,D4,1,1,-1,0.8,-0.4,-1,1.32,-1.0,0.5656854249492381,-1.0,-0.5656854249492381,0.6060606060606061,0.7575757575757576
degenerate,D4,1,2,-1,0.8,0.3,-1,0.76,-0.5101020514433644,0.0,-1.4898979485566355,0.0,-1.0526315789473684,-1.3157894736842106
degenerate,D4,2,1,-1,0.5,-0.4,-1,1.2,-1.0,0.4472135954999579,-1.0,-0.4472135954999579,0.4166666666666667,0.8333333333333334
degenerate,D4,2,2,-1,0.5,0.3,-1,0.85,-0.6127016653792583,0.0,-1.3872983346207417,0.0,-0.5882352941176471,-1.1764705882352942
degenerate,D5,1,1,-1,1.1,2.0,-1,-1.2000000000000002,0.48323969741913264,0.0,-2.4832396974191324,0.0,-0.9166666666666666,-0.8333333333333333
degenerate,D5,1,2,-1,1.1,1.6,-1,-0.7600000000000002,0.3266499161421601,0.0,-2.32664991614216,0.0,1.4473684210526312,1.3157894736842102
degenerate,D5,2,1,-1,1.3,2.0,-1,-1.6,0.61245154965971,0.0,-2.61245154965971,0.0,-0.8125,-0.625
degenerate,D5,2,2,-1,1.3,1.6,-1,-1.08,0.4422205101855958,0.0,-2.442220510185596,0.0,1.2037037037037037,0.9259259259259258
noncompact,N1,1,1,-1,0.4,0.5,-1,0.8,-0.5527864045000421,0.0,-1.4472135954999579,0.0,-1.7499999999999998,-1.875
noncompact,N1,1,2,-1,0.4,1.0,-1,0.6,-0.3675444679663241,0.0,-1.632455532033676,0.0,-1.0,0.0
noncompact,N1,2,1,-1,1.6,0.5,-1,0.19999999999999996,-0.10557280900008414,0.0,-1.8944271909999157,0.0,-3.0000000000000013,-2.5000000000000004
noncompact,N1,2,2,-1,1.6,1.0,-1,-0.6000000000000001,0.26491106406735176,0.0,-2.264911064067352,0.0,-4.333333333333333,-3.333333333333333
noncompact,N2,1,1,-1,0.6,0.8,-1,0.52,-0.3071796769724491,0.0,-1.692820323027551,0.0,-2.692307692307692,-1.153846153846154
noncompact,N2,1,2,-1,0.6,2.0,-1,-0.19999999999999996,0.09544511501033215,0.0,-2.095445115010332,0.0,16.000000000000004,30.000000000000007
noncompact,N2,2,1,-1,1.4,0.8,-1,-0.11999999999999988,0.05830052442583611,0.0,-2.058300524425836,0.0,-20.000000000000018,-15.000000000000014
noncompact,N2,2,2,-1,1.4,2.0,-1,-1.7999999999999998,0.6733200530681511,0.0,-2.673320053068151,0.0,1.0,-0.0
noncompact,N3,1,1,-1,-0.8,-0.7,-1,0.44000000000000006,-0.2516685226452118,0.0,-1.7483314773547882,0.0,-4.090909090909091,3.863636363636363
noncompact,N3,1,2,-1,-0.8,1.8,-1,2.4400000000000004,-1.0,1.2000000000000002,-1.0,-1.2000000000000002,-0.08196721311475406,-1.147540983606557
noncompact,N3,2,1,-1,0.8,-0.7,-1,1.56,-1.0,0.7483314773547882,-1.0,-0.7483314773547882,1.1538461538461537,0.19230769230769232
noncompact,N3,2,2,-1,0.8,1.8,-1,-0.44000000000000017,0.20000000000000018,0.0,-2.2,0.0,-0.45454545454545425,-1.8181818181818177
